ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-01-086,85364.99345879855,16034.583686554965,0.36545330742260895,0.2541548744832565,0.0,0.0,0.9859642249601072,0.6810994565724541,0.0440130170022173
2008-01-087,71567.51130031516,14330.590601859192,0.4668717145429512,0.3434036819735191,0.0,0.0,1.0,1.0,0.0
2008-02-001,94936.10087935296,18528.206193488262,0.26330587398652877,0.16631721186213927,0.0,0.0,1.0,1.0,0.0
2008-02-002,91851.52281984416,20591.931031821194,0.20724608437694592,0.13028425984099637,0.0005192796376091,0.0005192796376091,1.0,1.0,0.0
2008-02-003,100123.94317375946,20087.163125563995,0.21691171728091746,0.14883048428861081,0.0018536773529915,0.0018536773529915,1.0,1.0,0.0
2008-02-004,101842.87290774254,20083.416234349967,0.2252235623458853,0.13957675628031446,0.0,0.0,1.0,1.0,0.0
2008-02-005,109791.40505971134,22991.830283703144,0.11943895211534265,0.07032093647361344,0.0,0.0,1.0,1.0,0.0
2008-02-006,127208.41149724826,26837.057961144717,0.06697738649582423,0.03835656250668726,0.0,0.0,1.0,1.0,0.0
2008-02-007,125601.78826474471,26026.701647070466,0.08645199112087111,0.05043626898251192,0.0,0.0,1.0,1.0,0.0
2008-02-008,123884.86269792316,26441.822432457393,0.07717372640630052,0.04095796731747561,0.0,0.0,1.0,1.0,0.0
2008-02-009,122303.71845542132,30036.605448305527,0.08383287728622676,0.047253699362099943,0.0,0.0,1.0,1.0,0.0
2008-02-010,124005.9396352579,28733.630429252287,0.06154543685824515,0.03533046078614774,0.0,0.0,1.0,1.0,0.0
2008-02-011,121087.5562929525,27628.48409197816,0.06028175764346007,0.03529131062981391,0.0,0.0,1.0,1.0,0.0
2008-02-012,121264.35260053724,26846.058280649984,0.059857919652981886,0.033332999512285626,0.0,0.0,1.0,1.0,0.0
2008-02-013,117084.97507216346,30687.352292137974,0.056779917666314725,0.030261866090954194,0.0,0.0,1.0,1.0,0.0
2008-02-014,126991.44208360571,32048.63057290462,0.04183912071259484,0.023989979791026978,1.783151006140571e-05,1.783151006140571e-05,1.0,1.0,0.0
2008-02-015,121472.1697002774,26990.6873175507,0.06606786669903054,0.03588815193110239,0.0,0.0,1.0,1.0,0.0
2008-02-016,126740.5036784565,27829.580502742054,0.05560006220195754,0.03014786354563991,0.0,0.0,1.0,1.0,0.0
2008-02-018,128500.04935474043,29835.33299624831,0.05122161496183025,0.028513967419323404,1.4232646845302456e-05,1.4232646845302456e-05,1.0,1.0,0.0
2008-02-019,131106.10129809656,32344.745491999573,0.05126600875376112,0.028754835306792133,0.0,0.0,1.0,1.0,0.0
2008-02-020,116658.427937714,27853.565920685087,0.0753908899185652,0.04325230278572308,0.0,0.0,1.0,1.0,0.0
2008-02-021,100013.40132679533,22274.83931321746,0.20594132723708447,0.14304293110654392,0.0019811627151672,0.0019811627151672,1.0,1.0,0.0
2008-02-023,103874.23639095887,21671.998197219327,0.17023357063713246,0.10179831343960036,0.0,0.0,0.9843202597295936,0.511182950256539,0.0320769095076279
2008-02-024,94733.21834705486,19391.15056181102,0.1819165546466115,0.09861568567219436,1.1102230246251563e-16,1.1102230246251563e-16,0.9834640339521497,0.511182950256539,0.0323484303213786
2008-02-025,101339.41722014027,22328.63579376494,0.13505871149669504,0.08409074518015382,0.0,0.0,1.0,1.0,0.0
2008-02-026,104864.9414935806,21917.769350786846,0.1228081528908008,0.0653040714495716,0.0001072788714262,0.0001072788714262,1.0,1.0,0.0
2008-02-027,110658.70934417407,22704.938978555045,0.13722954415807004,0.08155743696358976,0.0,0.0,1.0,1.0,0.0
2008-02-028,101191.68307308099,21834.27108630624,0.1205920208382558,0.06703621322395593,0.0,0.0,1.0,1.0,0.0
2008-02-029,90940.03798171983,18880.679930928916,0.1779682179206197,0.10752418975554319,2.003506135739297e-05,2.003506135739297e-05,1.0,1.0,0.0
2008-02-030,105958.56837368144,21688.177155727142,0.13430569628143077,0.07367152116103014,0.0,0.0,1.0,1.0,0.0
2008-02-031,118813.20595792966,29987.11681892884,0.0469985438203095,0.02524311892041513,0.000113057062983,0.000113057062983,1.0,1.0,0.0
2008-02-032,127881.01558117958,29842.976975584123,0.04232948619820382,0.022269799172334282,0.0,0.0,1.0,1.0,0.0
2008-02-033,120091.6288205758,27202.942445203993,0.08838422349173519,0.05285560493373419,0.0,0.0,1.0,1.0,0.0
2008-02-034,126903.45827908482,27678.053292847406,0.07014969376065389,0.038022559147022586,0.0,0.0,1.0,1.0,0.0
2008-02-035,114881.97926668165,25516.90058045707,0.06309830191557453,0.03157771051110521,0.0,0.0,1.0,1.0,0.0
2008-02-036,125347.74575642619,31593.03002465791,0.04472068866586006,0.023237396427636843,0.0,0.0,1.0,1.0,0.0
2008-02-037,130764.47053766348,31369.393481207688,0.03999634506597064,0.020321652970955117,0.0,0.0,1.0,1.0,0.0
2008-02-038,131435.93989699474,30917.160089386038,0.036731907507359544,0.017730181942023127,0.0,0.0,1.0,1.0,0.0
